dataset,condition_group,condition,joint,kp,kd,amp_rad,repeat_label,tracking_ratio,tail_tracking_ratio,active_overshoot_ratio,peak_time_sec,response_class,ringdown_valid,usable_zeta,reliable_fn,zeta_step,ringdown_freq_hz,f_n_closed_loop_hz,ringdown_overshoot_ratio,settling_time_ms,peak_count,valid_log_pairs,primary_peak_velocity,primary_peak_effort,source,notes
real,ground,触地复测,right_ankle_roll_joint,35.0,0.5,0.1,触地复测,0.17088,0.187377,0.0,0.237006,undershoot_soft,True,True,False,0.056743,2.602296,2.606496,0.11549,nan,8.0,1.0,0.793933,6.829446,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地 `0.1 rad` 复测仍严重欠跟踪：`actual_step=0.017088`，约 17.1%；`peak_time=0.237006s` 仍超 walking 预算，active 未收敛，`final_tracking_ratio=0.011752`。post_hold 约 2.88s 未收敛；ringdown 有效但只有 1 个有效递减峰对，`f_n=2.606496 Hz` 与首测差异大，暂按释放段估计不稳定处理。
real,ground,触地复测2,right_ankle_roll_joint,35.0,0.5,0.1,触地复测2,0.224421,0.263418,0.0,0.267927,undershoot_soft,True,True,True,0.043891,11.857118,11.868555,0.20856,nan,37.0,3.0,0.756655,7.282916,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地 `0.1 rad` 复测2 幅值兑现略高但仍严重欠跟踪：`actual_step=0.022442`，约 22.4%；`peak_time=0.267927s` 仍超 walking 预算，active 未收敛，`final_tracking_ratio=0.054615`。post_hold 约 3.17s 未收敛；ringdown 有 3 个有效递减峰对，`f_n=11.868555 Hz` 与首测约 11.19 Hz 接近。
real,air,悬空,right_ankle_roll_joint,35.0,0.5,0.15,悬空,0.918028,0.960157,0.354617,0.091262,sustained_oscillation,True,True,False,0.169698,27.143251,27.542726,0.974387,3985.041,108.0,3.0,3.827732,7.153489,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,0.15 rad 下 active 超调继续增大；post_hold 约 4 s 才贴近阈值，`peak_count=108` 但有效递减峰对仅 3，说明有大量小峰/噪声或高频折返参与峰值检测。
real,air,悬空复测,right_ankle_roll_joint,35.0,0.5,0.15,悬空复测,0.921648,0.964132,0.357078,0.09911,sustained_oscillation,True,True,True,0.125624,16.130073,16.258876,0.98354,278.026,5.0,4.0,3.847833,7.058158,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,0.15 rad 复测 active 指标与首次接近，但 ringdown 频率从约 27.5 Hz 变为约 16.3 Hz，峰值数量从 108 降到 5；复测的峰值衰减估计更干净，但仍显示释放超调接近整步幅。
real,air,悬空复测2,right_ankle_roll_joint,35.0,0.5,0.15,悬空复测2,0.922447,0.964277,0.357224,0.088048,sustained_oscillation,True,True,True,0.125624,15.155821,15.276844,0.98354,287.913,5.0,4.0,3.829759,7.10578,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,0.15 rad 第二次复测与上一次 0.15 复测高度一致；post_hold 约 2.25 s，`f_n` 约 15.3 Hz，仍有接近整步幅的释放超调。
real,ground,触地,right_ankle_roll_joint,35.0,0.5,0.15,触地,0.401219,0.480927,0.0,0.32208,undershoot_soft,True,True,False,0.001932,8.45379,8.453806,0.345873,nan,22.0,2.0,1.497646,9.23186,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地 `0.15 rad` 幅值兑现明显高于 `0.05/0.10`，但仍欠跟踪：`actual_step=0.060183`，约 40.1%；`peak_time=0.322080s` 超 walking 预算，active 未收敛，`final_tracking_ratio=0.010537`。释放后低阻尼明显，`zeta_step=0.001932`，post_hold 约 2.56s 未收敛。
real,ground,触地复测,right_ankle_roll_joint,35.0,0.5,0.15,触地复测,0.350572,0.429255,0.0,0.478117,undershoot_soft,True,True,True,0.004262,10.400731,10.400825,0.31504,nan,35.0,21.0,1.415988,9.184898,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地 `0.15 rad` 复测仍欠跟踪：`actual_step=0.052586`，约 35.1%；`peak_time=0.478117s` 更慢，active 未收敛，`final_tracking_ratio=-0.004195`。post_hold 约 3.35s 未收敛；ringdown 有 21 个有效递减峰对，`f_n=10.400825 Hz`，但 `zeta_step=0.004262` 仍极低。
real,ground,触地复测2,right_ankle_roll_joint,35.0,0.5,0.15,触地复测2,0.377993,0.472571,0.0,0.34593,undershoot_soft,True,True,True,0.009147,3.841823,3.841984,0.315787,nan,15.0,5.0,1.332265,9.609961,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地 `0.15 rad` 复测2 仍欠跟踪：`actual_step=0.056699`，约 37.8%；`peak_time=0.345930s` 超 walking 预算，active 未收敛，`final_tracking_ratio=0.004385`。post_hold 完整 4.0s 仍未收敛；ringdown 有 5 个有效递减峰对，`f_n=3.841984 Hz` 与前两次差异大，但 `zeta_step=0.009147` 仍极低。
real,ground,触地,right_ankle_roll_joint,35.0,0.5,0.2,触地,0.53049,0.647368,0.0,0.435793,undershoot_soft,True,True,True,0.021733,13.758044,13.761295,0.55889,nan,13.0,8.0,1.863899,11.683039,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地 `0.2 rad` 幅值兑现继续提高：`actual_step=0.106098`，约 53.0%；但 `peak_time=0.435793s` 仍超 walking 预算，active 未收敛，`final_tracking_ratio=-0.019501`。释放后 `ringdown_overshoot_ratio=0.558890` 明显放大，post_hold 约 3.51s 未收敛，`primary_peak_effort=11.683039` 已高于 0.15。
real,ground,触地复测,right_ankle_roll_joint,35.0,0.5,0.2,触地复测,0.537318,0.653583,0.0,0.433008,undershoot_soft,True,True,True,0.01222,10.888401,10.889214,0.56181,nan,14.0,5.0,1.942677,11.45522,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地 `0.2 rad` 复测与首测高度一致：`actual_step=0.107464`，约 53.7%；`peak_time=0.433008s` 仍超 walking 预算，active 未收敛，`final_tracking_ratio=-0.020838`。释放后 `ringdown_overshoot_ratio=0.561810` 与首测接近，post_hold 约 3.65s 未收敛，`primary_peak_effort=11.455220` 仍处高位。
real,ground,触地复测2,right_ankle_roll_joint,35.0,0.5,0.2,触地复测2,0.496858,0.624415,0.0,0.488075,undershoot_soft,True,True,True,0.036784,16.833927,16.845327,0.553985,nan,53.0,6.0,1.86633,11.70131,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地 `0.2 rad` 复测2 tracking 略低但仍接近前两次：`actual_step=0.099372`，约 49.7%；`peak_time=0.488075s` 更慢，active 未收敛，`final_tracking_ratio=-0.021659`。释放后 `ringdown_overshoot_ratio=0.553985` 仍与前两次一致偏高，post_hold 约 3.26s 未收敛，`primary_peak_effort=11.701310` 仍处高位。
real,ground,触地,right_ankle_roll_joint,35.0,0.5,0.25,触地,0.679407,0.856651,0.0,0.498859,undershoot_soft,True,True,True,0.036954,14.994752,15.005001,0.740904,nan,20.0,9.0,2.514251,15.330791,.oma/sim2real/results/forward_x_failure/34_ankle_resonance_peak_validation.md,触地 `0.25 rad` 幅值兑现明显提高：`actual_step=0.169852`，约 67.9%，tail tracking 达 `0.856651`；但 `rise_time=0.474332s` 已被判为 too_slow_for_walking，`peak_time=0.498859s` 仍不可用于 walking，active 未收敛。释放后 `ringdown_overshoot_ratio=0.740904`、`max_abs_overshoot=0.185226`，post_hold 约 3.10s 未收敛；`primary_peak_effort=15.330791` 已明显高于 0.20，说明继续加幅值主要换来更大的释放冲击和力矩负担。
sim,sim,sim,left_ankle_roll_joint,30.0,0.5,0.015000000000000001,iteration_1,0.9480285333333333,0.9965480706270625,0.0,0.46199999999999974,well_damped_tracking,True,True,True,0.1091249584278093,29.41349491146553,29.590206453570133,0.9793999999999998,193.0000000000005,4.0,3.0,0.355895,0.484893,real2sim/table/forward_x_failure_first6/sim_left_roll_step_kp30_kd0.5.metrics.csv,sim raw CSV re-analyzed with analyze_ankle_identifier_csv.py
sim,sim,sim,left_ankle_roll_joint,30.0,0.5,0.015000000000000001,iteration_2,0.9466318666666665,0.9951627999999999,0.0,0.44400199999999934,well_damped_tracking,True,True,True,0.1091249584278093,29.41176470588226,29.588465853190268,0.9793999999999998,192.9999999999996,4.0,3.0,0.355722,0.484885,real2sim/table/forward_x_failure_first6/sim_left_roll_step_kp30_kd0.5.metrics.csv,sim raw CSV re-analyzed with analyze_ankle_identifier_csv.py
sim,sim,sim,left_ankle_roll_joint,30.0,0.5,0.015000000000000001,iteration_3,0.9466368888888889,0.9951462717271726,0.0,0.4440179999999998,well_damped_tracking,True,True,True,0.10899386910926893,29.41176470588226,29.588037752215502,0.9793999999999998,192.98099999999963,4.0,3.0,0.355714,0.484808,real2sim/table/forward_x_failure_first6/sim_left_roll_step_kp30_kd0.5.metrics.csv,sim raw CSV re-analyzed with analyze_ankle_identifier_csv.py
