ankle_kp,ankle_kd,dataset,window,side,axis,role,n,p25_ms,p50_ms,p75_ms,p90_ms
35.0,0.5,real,touchdown,right,roll,—,1,40.0,40.0,40.0,40.0
35.0,0.5,sim,swing,left,pitch,—,6,87.5,115.0,127.5,130.0
35.0,0.5,sim,swing,left,roll,—,6,22.5,35.0,55.0,90.0
35.0,0.5,sim,swing,right,pitch,—,5,50.0,50.0,70.0,124.0
35.0,0.5,sim,swing,right,roll,—,6,30.0,30.0,82.5,100.0
35.0,0.5,sim,touchdown,left,pitch,—,3,0.0,0.0,0.0,0.0
35.0,0.5,sim,touchdown,left,roll,—,4,20.0,25.0,32.5,37.0
35.0,0.5,sim,touchdown,right,pitch,—,5,20.0,20.0,20.0,32.0
35.0,0.5,sim,touchdown,right,roll,—,5,30.0,30.0,30.0,36.0
40.0,0.5,sim,swing,left,pitch,—,6,70.0,100.0,107.5,115.0
40.0,0.5,sim,swing,left,roll,—,6,30.0,55.0,80.0,85.0
40.0,0.5,sim,swing,right,pitch,—,5,30.0,50.0,60.0,60.0
40.0,0.5,sim,swing,right,roll,—,5,0.0,20.0,30.0,72.0
40.0,0.5,sim,touchdown,left,pitch,—,3,0.0,0.0,0.0,0.0
40.0,0.5,sim,touchdown,left,roll,—,5,30.0,30.0,30.0,36.0
40.0,0.5,sim,touchdown,right,pitch,—,6,20.0,20.0,27.5,30.0
40.0,0.5,sim,touchdown,right,roll,—,5,30.0,30.0,40.0,40.0
40.0,0.8,real,swing,left,pitch,—,3,70.0,90.0,130.0,154.0
40.0,0.8,real,swing,left,roll,—,6,12.5,30.0,107.5,165.0
40.0,0.8,real,swing,right,pitch,—,3,115.0,130.0,145.0,154.0
40.0,0.8,real,swing,right,roll,—,6,52.5,65.0,92.5,130.0
40.0,0.8,real,touchdown,left,pitch,—,4,20.0,30.0,40.0,40.0
40.0,0.8,real,touchdown,left,roll,—,4,0.0,15.0,35.0,44.0
40.0,0.8,real,touchdown,right,pitch,—,1,40.0,40.0,40.0,40.0
40.0,0.8,real,touchdown,right,roll,—,4,15.0,30.0,40.0,40.0
50.0,0.8,sim,swing,left,pitch,—,5,70.0,110.0,110.0,122.0
50.0,0.8,sim,swing,left,roll,—,6,32.5,60.0,80.0,95.0
50.0,0.8,sim,swing,right,pitch,—,4,42.5,50.0,52.5,57.0
50.0,0.8,sim,swing,right,roll,—,6,2.5,15.0,72.5,90.0
50.0,0.8,sim,touchdown,left,pitch,—,3,0.0,0.0,0.0,0.0
50.0,0.8,sim,touchdown,left,roll,—,4,27.5,30.0,30.0,30.0
50.0,0.8,sim,touchdown,right,pitch,—,6,0.0,5.0,25.0,40.0
50.0,0.8,sim,touchdown,right,roll,—,6,30.0,30.0,30.0,35.0
25.0,0.4,real,stance,left,pitch,stance_leg,3,110.0,190.0,195.0,198.0
25.0,0.4,real,stance,left,roll,stance_leg,3,70.0,90.0,105.0,114.0
25.0,0.4,real,stance,right,pitch,stance_leg,2,100.0,110.0,120.0,126.0
25.0,0.4,real,stance,right,roll,stance_leg,3,100.0,130.0,165.0,186.0
25.0,0.4,real,stance,left,pitch,swing_leg,2,192.5,195.0,197.5,199.0
25.0,0.4,real,stance,left,roll,swing_leg,3,160.0,190.0,195.0,198.0
25.0,0.4,real,stance,right,pitch,swing_leg,1,170.0,170.0,170.0,170.0
25.0,0.4,real,stance,right,roll,swing_leg,2,145.0,160.0,175.0,184.0
25.0,0.4,sim,stance,left,pitch,stance_leg,3,120.0,180.0,190.0,196.0
25.0,0.4,sim,stance,left,roll,stance_leg,3,50.0,60.0,130.0,172.0
25.0,0.4,sim,stance,right,pitch,stance_leg,1,160.0,160.0,160.0,160.0
25.0,0.4,sim,stance,right,roll,stance_leg,1,30.0,30.0,30.0,30.0
25.0,0.4,sim,stance,left,pitch,swing_leg,1,200.0,200.0,200.0,200.0
25.0,0.4,sim,stance,left,roll,swing_leg,1,20.0,20.0,20.0,20.0
25.0,0.4,sim,stance,right,pitch,swing_leg,3,110.0,200.0,200.0,200.0
25.0,0.4,sim,stance,right,roll,swing_leg,4,7.5,10.0,57.5,143.0
30.0,0.4,real,stance,left,pitch,stance_leg,3,90.0,170.0,170.0,170.0
30.0,0.4,real,stance,left,roll,stance_leg,3,45.0,90.0,130.0,154.0
30.0,0.4,real,stance,right,roll,stance_leg,3,10.0,10.0,100.0,154.0
30.0,0.4,real,stance,left,pitch,swing_leg,3,25.0,50.0,125.0,170.0
30.0,0.4,real,stance,left,roll,swing_leg,3,180.0,180.0,190.0,196.0
30.0,0.4,real,stance,right,pitch,swing_leg,2,162.5,165.0,167.5,169.0
30.0,0.4,real,stance,right,roll,swing_leg,3,80.0,80.0,120.0,144.0
35.0,0.5,real,stance,left,pitch,stance_leg,1,10.0,10.0,10.0,10.0
35.0,0.5,real,stance,left,roll,stance_leg,3,100.0,110.0,119.9,125.9
35.0,0.5,real,stance,right,roll,stance_leg,1,30.0,30.0,30.0,30.0
35.0,0.5,real,stance,left,pitch,swing_leg,2,119.9,119.9,119.9,119.9
35.0,0.5,real,stance,left,roll,swing_leg,3,20.0,40.0,75.0,96.0
35.0,0.5,real,stance,right,pitch,swing_leg,2,132.4,134.9,137.4,138.9
35.0,0.5,real,stance,right,roll,swing_leg,2,87.5,95.0,102.5,107.0
35.0,0.5,sim,stance,left,pitch,stance_leg,3,90.0,130.0,155.0,170.0
35.0,0.5,sim,stance,left,roll,stance_leg,3,25.0,30.0,35.0,38.0
35.0,0.5,sim,stance,right,pitch,stance_leg,3,55.0,60.0,60.0,60.0
35.0,0.5,sim,stance,right,roll,stance_leg,3,30.0,30.0,65.0,86.0
35.0,0.5,sim,stance,left,pitch,swing_leg,3,55.0,70.0,135.0,174.0
35.0,0.5,sim,stance,left,roll,swing_leg,3,95.0,100.0,100.0,100.0
35.0,0.5,sim,stance,right,pitch,swing_leg,3,100.0,190.0,195.0,198.0
35.0,0.5,sim,stance,right,roll,swing_leg,3,20.0,30.0,30.0,30.0
40.0,0.5,sim,stance,left,pitch,stance_leg,3,75.0,100.0,135.0,156.0
40.0,0.5,sim,stance,left,roll,stance_leg,3,25.0,30.0,30.0,30.0
40.0,0.5,sim,stance,right,pitch,stance_leg,3,55.0,60.0,60.0,60.0
40.0,0.5,sim,stance,right,roll,stance_leg,3,20.0,20.0,25.0,28.0
40.0,0.5,sim,stance,left,pitch,swing_leg,3,65.0,70.0,80.0,86.0
40.0,0.5,sim,stance,left,roll,swing_leg,3,90.0,90.0,95.0,98.0
40.0,0.5,sim,stance,right,pitch,swing_leg,3,115.0,200.0,200.0,200.0
40.0,0.5,sim,stance,right,roll,swing_leg,2,0.0,0.0,0.0,0.0
40.0,0.8,real,stance,left,pitch,stance_leg,2,40.0,50.0,60.0,66.0
40.0,0.8,real,stance,left,roll,stance_leg,3,30.0,50.0,120.0,162.0
40.0,0.8,real,stance,right,pitch,stance_leg,3,95.0,100.0,150.0,179.9
40.0,0.8,real,stance,right,roll,stance_leg,2,52.5,55.0,57.5,59.0
40.0,0.8,real,stance,left,pitch,swing_leg,3,150.0,160.0,170.0,176.0
40.0,0.8,real,stance,left,roll,swing_leg,2,100.0,110.0,120.0,126.0
40.0,0.8,real,stance,right,pitch,swing_leg,1,0.0,0.0,0.0,0.0
40.0,0.8,real,stance,right,roll,swing_leg,2,85.0,90.0,95.0,98.0
50.0,0.8,sim,stance,left,pitch,stance_leg,3,50.0,50.0,80.0,98.0
50.0,0.8,sim,stance,left,roll,stance_leg,3,30.0,30.0,30.0,30.0
50.0,0.8,sim,stance,right,pitch,stance_leg,3,50.0,50.0,115.0,154.0
50.0,0.8,sim,stance,right,roll,stance_leg,3,25.0,30.0,55.0,70.0
50.0,0.8,sim,stance,left,pitch,swing_leg,2,65.0,110.0,155.0,182.0
50.0,0.8,sim,stance,left,roll,swing_leg,3,75.0,80.0,80.0,80.0
50.0,0.8,sim,stance,right,pitch,swing_leg,3,105.0,190.0,195.0,198.0
50.0,0.8,sim,stance,right,roll,swing_leg,3,0.0,0.0,5.0,8.0
